langs:EN->RU
langs:RU->EN
trans:EN->RU;car;автомобиль
trans:EN->RU;dog;собака
trans:EN->RU;dog;сосиска
trans:EN->RU;dog;певец
trans:EN->RU;knife;нож
trans:EN->RU;knife;сталь
trans:EN->RU;knife;удар
trans:EN->RU;bird;птица
trans:EN->RU;bird;кукушенок-сука
trans:EN->RU;bird;вороненок Степа
trans:EN->RU;light;cветлый
trans:EN->RU;light;легкий
trans:EN->RU;fly;лететь
trans:EN->RU;true;правда
trans:EN->RU;true;истина
trans:EN->RU;true;беспезды
trans:EN->RU;read;читать
trans:EN->RU;doctor;доктор
trans:EN->RU;fire;огонь
trans:RU->EN;носок;sock
trans:RU->EN;сумка;bag
trans:RU->EN;сумка;frodo
trans:RU->EN;жук;bug
trans:RU->EN;рыба;fish
trans:RU->EN;документ;document
trans:RU->EN;встреча;meeting
trans:RU->EN;стол;table
trans:RU->EN;дерево;tree
trans:RU->EN;поверхность;surface
trans:RU->EN;слабость;weekness
trans:RU->EN;девушка;girl
